Item - Name,Item - Options,Item - Qty,Item - Weight,Notes - From Buyer
"GREEN DRAGON COSTA RICA","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"Total Discount",,"1","0.0",""
"SNOWMAGEDDON","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"GREEN DRAGON COSTA RICA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"Total Discount",,"1","0.0",""
"FOUND THINGS - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #14 - Cone Filter or v60","1","16.0",""
"LIQUID TOFFEE COLOMBIA","Size: One Pound - $22 Per Pound, Grind Type: #14 - Cone Filter or v60","1","16.0",""
"6 MONTH COFFEE SUBSCRIPTION","Roast Level: Medium & Dark, Grind Type: #0 - Whole Bean","1","32.0",""
"3 VOLCANOES DARK GUATEMALA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"FOUND THINGS - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #14 - Cone Filter or v60","1","16.0",""
"LAKE EFFECT DARK COLOMBIA","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"Total Discount",,"1","0.0",""
"LIQUID TOFFEE COLOMBIA","Size: One Pound - $22 Per Pound, Grind Type: #17 - Flat Filter or Cold Brew","1","16.0",""
"RING OF FIRE GUATEMALA","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"LAKE EFFECT DARK COLOMBIA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"CREAM CITY","Size: One Pound - $18 Per Pound, Grind Type: #14 - Cone Filter or v60","2","16.0",""
"VOYAGER","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"FOUND THINGS - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"SWEET MELON RWANDA","Size: One Pound - $22 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"BLACK SHEEP","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
"CREAM CITY","Size: Five Pound - $15 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"FOUND THINGS - 2 HALF POUND BAGS","Size: 2 - Half Pounds, Grind Type: #0 - Whole Bean","1","16.0",""
"VOYAGER","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","80.0",""
"LAKE EFFECT DARK COLOMBIA","Size: One Pound - $18 Per Pound, Grind Type: #0 - Whole Bean","1","16.0",""
